Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Seasonality,Pricing
Fruits,350,Birthday,450,Room Temperature,Summer,Moderate
Fruits,400,Social Gathering,500,Room Temperature,Summer,High
Vegetables,220,Corporate,300,Room Temperature,Winter,Moderate
Vegetables,320,Social Gathering,400,Refrigerated,Summer,High
Dairy Products,491,Birthday,497,Room Temperature,All Seasons,High
Fruits,250,Wedding,350,Room Temperature,Winter,Moderate
Meat,350,Social Gathering,450,Room Temperature,Winter,High
Dairy Products,220,Social Gathering,300,Room Temperature,Summer,Low
Baked Goods,380,Social Gathering,480,Room Temperature,Summer,Moderate
Vegetables,250,Wedding,350,Refrigerated,All Seasons,Moderate
Dairy Products,400,Wedding,500,Room Temperature,All Seasons,High
Dairy Products,250,Corporate,400,Room Temperature,All Seasons,Low
Baked Goods,400,Social Gathering,500,Room Temperature,Summer,High
Baked Goods,240,Wedding,450,Room Temperature,All Seasons,Low
Dairy Products,250,Social Gathering,350,Room Temperature,Winter,Moderate
Dairy Products,453,Corporate,484,Room Temperature,All Seasons,High
Dairy Products,380,Social Gathering,480,Room Temperature,Winter,Moderate
Baked Goods,380,Social Gathering,500,Room Temperature,Winter,High
Dairy Products,250,Birthday,350,Room Temperature,All Seasons,High
Vegetables,220,Social Gathering,300,Refrigerated,All Seasons,Moderate
Fruits,270,Social Gathering,400,Room Temperature,All Seasons,High
Dairy Products,280,Social Gathering,400,Room Temperature,All Seasons,Moderate
Baked Goods,208,Social Gathering,282,Room Temperature,Summer,Moderate
Baked Goods,280,Social Gathering,350,Room Temperature,All Seasons,Moderate
Dairy Products,342,Social Gathering,405,Room Temperature,All Seasons,Moderate
Dairy Products,320,Social Gathering,400,Room Temperature,All Seasons,Moderate
Dairy Products,300,Social Gathering,400,Room Temperature,All Seasons,Moderate
Dairy Products,310,Social Gathering,350,Room Temperature,All Seasons,High
Baked Goods,380,Social Gathering,400,Room Temperature,All Seasons,Moderate
Baked Goods,434,Social Gathering,495,Room Temperature,All Seasons,Low
Meat,284,Wedding,443,Refrigerated,Summer,Low
Meat,250,Wedding,350,Refrigerated,Summer,Low
Meat,250,Wedding,480,Refrigerated,Summer,Low
Meat,280,Birthday,350,Room Temperature,Winter,Low
Meat,300,Corporate,400,Refrigerated,Winter,Low
Meat,400,Birthday,500,Refrigerated,Winter,High
Meat,300,Corporate,400,Refrigerated,Summer,High
Meat,350,Corporate,450,Refrigerated,Summer,High
Meat,400,Corporate,500,Refrigerated,Summer,High
Fruits,310,Corporate,350,Room Temperature,Summer,High
Meat,400,Wedding,350,Room Temperature,Winter,High
Meat,207,Corporate,280,Room Temperature,Summer,High
Fruits,380,Wedding,500,Refrigerated,Winter,High
Meat,302,Social Gathering,371,Room Temperature,Winter,Low
Dairy Products,250,Corporate,350,Room Temperature,Winter,Low
Baked Goods,280,Birthday,350,Room Temperature,Winter,Low
Vegetables,350,Birthday,450,Refrigerated,Winter,High
Fruits,220,Wedding,300,Room Temperature,Summer,Low
Vegetables,300,Birthday,400,Refrigerated,Winter,Low
Meat,300,Social Gathering,450,Refrigerated,Summer,High
Fruits,250,Corporate,350,Refrigerated,All Seasons,Moderate
Vegetables,350,Wedding,450,Room Temperature,Summer,High
Fruits,442,Wedding,482,Room Temperature,All Seasons,Low
Fruits,350,Wedding,450,Room Temperature,Winter,Moderate
Baked Goods,300,Wedding,400,Room Temperature,Winter,Low
Dairy Products,310,Birthday,350,Room Temperature,Winter,High
Baked Goods,275,Wedding,388,Room Temperature,All Seasons,Low
Fruits,310,Social Gathering,350,Room Temperature,Winter,High
Baked Goods,220,Birthday,300,Room Temperature,Summer,Moderate
Dairy Products,380,Wedding,480,Room Temperature,Summer,Moderate
Dairy Products,491,Wedding,497,Room Temperature,Summer,High
Dairy Products,250,Birthday,350,Room Temperature,Winter,Moderate
Vegetables,250,Corporate,350,Refrigerated,Summer,High
Fruits,220,Corporate,300,Refrigerated,All Seasons,Moderate
Fruits,320,Birthday,400,Room Temperature,All Seasons,Moderate
Fruits,300,Corporate,400,Room Temperature,All Seasons,Moderate
Baked Goods,250,Corporate,350,Room Temperature,Summer,Moderate
Meat,300,Social Gathering,400,Room Temperature,Winter,Moderate
Baked Goods,320,Social Gathering,400,Room Temperature,All Seasons,High
Meat,208,Social Gathering,282,Refrigerated,Winter,Moderate
Baked Goods,438,Corporate,493,Room Temperature,Winter,Moderate
Vegetables,280,Social Gathering,350,Room Temperature,Winter,Low
Baked Goods,207,Corporate,280,Room Temperature,All Seasons,High
Vegetables,453,Social Gathering,484,Refrigerated,Summer,High
Baked Goods,380,Social Gathering,480,Room Temperature,Summer,Moderate
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Low
Vegetables,280,Corporate,350,Refrigerated,All Seasons,Moderate
Dairy Products,400,Social Gathering,400,Room Temperature,Summer,High
Dairy Products,250,Corporate,350,Room Temperature,Winter,Moderate
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,High
Baked Goods,250,Social Gathering,350,Room Temperature,All Seasons,Moderate
Dairy Products,250,Corporate,350,Room Temperature,Winter,Moderate
Baked Goods,220,Birthday,300,Room Temperature,All Seasons,Moderate
Fruits,280,Social Gathering,350,Room Temperature,All Seasons,Moderate
Vegetables,250,Social Gathering,350,Room Temperature,Winter,Moderate
Dairy Products,342,Social Gathering,405,Room Temperature,Winter,Moderate
Vegetables,400,Corporate,500,Room Temperature,All Seasons,High
Dairy Products,300,Birthday,400,Room Temperature,All Seasons,High
Dairy Products,491,Social Gathering,497,Room Temperature,All Seasons,High
Dairy Products,280,Corporate,350,Room Temperature,All Seasons,Moderate
Dairy Products,380,Social Gathering,500,Room Temperature,Winter,High
Dairy Products,300,Social Gathering,400,Room Temperature,All Seasons,High
Dairy Products,230,Corporate,500,Room Temperature,All Seasons,Moderate
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Moderate
Meat,300,Wedding,400,Refrigerated,Summer,High
Meat,300,Wedding,400,Refrigerated,Summer,Low
Meat,302,Wedding,371,Refrigerated,Summer,Low
Vegetables,472,Birthday,489,Refrigerated,Summer,Low
Meat,300,Corporate,400,Refrigerated,Winter,High
Vegetables,250,Wedding,350,Refrigerated,Winter,Low
Meat,290,Corporate,374,Refrigerated,Winter,Low
Meat,434,Corporate,495,Refrigerated,Summer,Low
Fruits,280,Corporate,350,Refrigerated,Summer,Low
Fruits,400,Wedding,500,Refrigerated,Winter,High
Meat,350,Wedding,450,Refrigerated,Winter,High
Meat,250,Corporate,350,Room Temperature,Winter,High
Vegetables,350,Wedding,450,Refrigerated,Winter,High
Meat,350,Corporate,450,Refrigerated,Summer,Moderate
Vegetables,280,Wedding,350,Refrigerated,Summer,Moderate
Fruits,302,Corporate,371,Room Temperature,All Seasons,Low
Meat,250,Corporate,350,Room Temperature,Winter,Low
Meat,280,Birthday,350,Refrigerated,Summer,Low
Meat,320,Birthday,400,Refrigerated,All Seasons,High
Fruits,250,Corporate,350,Room Temperature,Winter,Low
Meat,380,Birthday,480,Refrigerated,Winter,Moderate
Meat,380,Corporate,480,Room Temperature,Summer,Moderate
Meat,280,Corporate,350,Refrigerated,Winter,Moderate
Vegetables,434,Corporate,495,Refrigerated,Winter,High
Meat,400,Birthday,500,Refrigerated,All Seasons,High
Meat,250,Social Gathering,350,Refrigerated,Summer,Moderate
Vegetables,320,Social Gathering,480,Refrigerated,Winter,High
Baked Goods,442,Wedding,482,Room Temperature,Summer,Low
Vegetables,300,Wedding,400,Room Temperature,Winter,High
Vegetables,280,Birthday,350,Refrigerated,Summer,Moderate
Baked Goods,380,Birthday,480,Room Temperature,Winter,Moderate
Fruits,292,Corporate,470,Room Temperature,Winter,High
Vegetables,320,Corporate,400,Refrigerated,Summer,Moderate
Meat,261,Wedding,350,Refrigerated,All Seasons,Moderate
Fruits,300,Corporate,400,Refrigerated,All Seasons,Moderate
Vegetables,400,Birthday,500,Room Temperature,Winter,Low
Fruits,220,Social Gathering,300,Room Temperature,Winter,Low
Baked Goods,400,Birthday,500,Room Temperature,All Seasons,High
Dairy Products,320,Social Gathering,400,Room Temperature,Summer,High
Fruits,250,Social Gathering,480,Room Temperature,All Seasons,Low
Vegetables,280,Wedding,480,Refrigerated,All Seasons,Moderate
Baked Goods,300,Wedding,400,Room Temperature,Summer,Low
Fruits,280,Birthday,350,Room Temperature,Summer,Moderate
Fruits,290,Social Gathering,374,Room Temperature,Winter,Low
Fruits,320,Birthday,400,Refrigerated,All Seasons,High
Dairy Products,250,Corporate,350,Room Temperature,All Seasons,Low
Fruits,261,Birthday,350,Refrigerated,All Seasons,Moderate
Baked Goods,350,Birthday,450,Room Temperature,Winter,High
Baked Goods,270,Birthday,400,Room Temperature,Winter,High
Vegetables,320,Social Gathering,400,Room Temperature,All Seasons,High
Baked Goods,380,Corporate,500,Room Temperature,Summer,High
Vegetables,397,Corporate,482,Refrigerated,All Seasons,Moderate
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,High
Dairy Products,220,Birthday,300,Room Temperature,Winter,Moderate
Vegetables,250,Birthday,350,Refrigerated,All Seasons,Moderate
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Low
Meat,267,Wedding,393,Refrigerated,Summer,Low
Meat,280,Wedding,350,Refrigerated,All Seasons,Low
Fruits,220,Corporate,300,Refrigerated,Winter,Low
Vegetables,280,Birthday,350,Refrigerated,Winter,Low
Vegetables,250,Corporate,350,Refrigerated,Winter,High
Baked Goods,280,Birthday,350,Room Temperature,All Seasons,Moderate
Dairy Products,300,Social Gathering,450,Room Temperature,Winter,High
Fruits,300,Social Gathering,400,Room Temperature,Winter,Moderate
Dairy Products,292,Social Gathering,470,Room Temperature,Winter,High
Baked Goods,320,Social Gathering,400,Room Temperature,Summer,Moderate
Fruits,220,Wedding,300,Refrigerated,Winter,Moderate
Dairy Products,367,Birthday,420,Room Temperature,Winter,Low
Vegetables,220,Birthday,300,Refrigerated,Winter,Low
Fruits,300,Birthday,400,Room Temperature,All Seasons,Moderate
Vegetables,250,Corporate,350,Refrigerated,Summer,High
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,High
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,High
Baked Goods,250,Social Gathering,500,Room Temperature,All Seasons,High
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Moderate
Dairy Products,240,Social Gathering,450,Room Temperature,All Seasons,Low
Vegetables,220,Corporate,300,Refrigerated,Summer,Moderate
Meat,220,Birthday,300,Room Temperature,Winter,Moderate
Baked Goods,280,Corporate,350,Room Temperature,Winter,Low
Meat,220,Social Gathering,300,Room Temperature,Summer,Low
Fruits,280,Birthday,350,Refrigerated,All Seasons,Moderate
Fruits,250,Wedding,350,Room Temperature,Summer,Moderate
Fruits,320,Social Gathering,400,Refrigerated,All Seasons,High
Vegetables,230,Corporate,500,Refrigerated,Winter,Low
Fruits,250,Birthday,350,Room Temperature,All Seasons,High
Baked Goods,300,Birthday,450,Room Temperature,Summer,High
Meat,280,Social Gathering,350,Refrigerated,Summer,Moderate
Vegetables,208,Corporate,282,Refrigerated,Winter,Moderate
Meat,250,Social Gathering,350,Refrigerated,Summer,Moderate
Vegetables,208,Wedding,282,Refrigerated,Summer,Moderate
Baked Goods,300,Corporate,450,Room Temperature,Winter,High
Dairy Products,302,Corporate,371,Room Temperature,All Seasons,Low
Baked Goods,380,Wedding,500,Room Temperature,Winter,High
Baked Goods,367,Social Gathering,420,Room Temperature,All Seasons,Low
Baked Goods,280,Social Gathering,350,Room Temperature,Winter,Low
Vegetables,350,Wedding,450,Refrigerated,All Seasons,Moderate
Fruits,400,Social Gathering,500,Room Temperature,Winter,High
Meat,280,Social Gathering,480,Room Temperature,Winter,Low
Vegetables,280,Social Gathering,350,Refrigerated,Winter,Moderate
Dairy Products,400,Wedding,500,Refrigerated,All Seasons,High
Baked Goods,310,Social Gathering,350,Room Temperature,Summer,High
Baked Goods,320,Wedding,400,Room Temperature,All Seasons,Moderate
Meat,220,Social Gathering,300,Room Temperature,Summer,Moderate
Dairy Products,400,Wedding,350,Room Temperature,Winter,High
Dairy Products,310,Corporate,350,Room Temperature,All Seasons,High
Fruits,250,Social Gathering,350,Room Temperature,Summer,Moderate
Fruits,220,Social Gathering,300,Room Temperature,Winter,Moderate
Dairy Products,300,Birthday,450,Room Temperature,All Seasons,High
Dairy Products,270,Corporate,400,Room Temperature,Winter,High
Baked Goods,400,Social Gathering,500,Room Temperature,Summer,High
Baked Goods,380,Social Gathering,500,Room Temperature,Summer,High
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Moderate
Dairy Products,434,Social Gathering,495,Room Temperature,Winter,Low
Baked Goods,350,Birthday,450,Room Temperature,Winter,Moderate
Dairy Products,434,Corporate,495,Room Temperature,All Seasons,Low
Dairy Products,350,Birthday,450,Room Temperature,All Seasons,High
Baked Goods,400,Social Gathering,500,Room Temperature,Summer,High
Dairy Products,320,Social Gathering,400,Room Temperature,All Seasons,Low
Baked Goods,250,Social Gathering,350,Room Temperature,Winter,Moderate
Baked Goods,320,Social Gathering,400,Room Temperature,All Seasons,Moderate
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Low
Baked Goods,438,Social Gathering,493,Room Temperature,All Seasons,Moderate
Dairy Products,300,Social Gathering,400,Room Temperature,All Seasons,High
Meat,280,Birthday,350,Refrigerated,All Seasons,Low
Meat,320,Birthday,400,Refrigerated,All Seasons,High
Fruits,400,Corporate,500,Room Temperature,Summer,High
Meat,292,Birthday,470,Refrigerated,Winter,High
Meat,220,Corporate,300,Refrigerated,Winter,Low
Fruits,280,Corporate,480,Refrigerated,Winter,Low
Baked Goods,320,Birthday,400,Room Temperature,Winter,High
Baked Goods,350,Corporate,450,Room Temperature,Winter,High
Fruits,439,Social Gathering,459,Refrigerated,Summer,Low
Fruits,400,Corporate,500,Refrigerated,Summer,High
Fruits,400,Corporate,500,Refrigerated,All Seasons,High
Fruits,367,Social Gathering,420,Room Temperature,Summer,Low
Fruits,380,Wedding,400,Room Temperature,Winter,Moderate
Vegetables,250,Wedding,350,Refrigerated,Summer,High
Vegetables,380,Wedding,400,Refrigerated,Winter,Moderate
Baked Goods,250,Wedding,350,Room Temperature,Winter,High
Meat,400,Corporate,500,Refrigerated,All Seasons,High
Meat,380,Corporate,500,Refrigerated,All Seasons,High
Meat,400,Corporate,500,Refrigerated,All Seasons,High
Fruits,350,Corporate,450,Room Temperature,Summer,High
Vegetables,250,Birthday,350,Refrigerated,Summer,Moderate
Vegetables,400,Wedding,400,Room Temperature,Winter,High
Fruits,400,Birthday,350,Room Temperature,Summer,High
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,High
Dairy Products,300,Corporate,400,Room Temperature,Summer,Low
Meat,280,Corporate,350,Refrigerated,All Seasons,Moderate
Fruits,220,Corporate,300,Room Temperature,All Seasons,Moderate
Meat,320,Social Gathering,400,Room Temperature,Winter,Moderate
Baked Goods,350,Corporate,450,Room Temperature,Summer,Moderate
Vegetables,300,Birthday,400,Room Temperature,Summer,Moderate
Vegetables,320,Birthday,400,Room Temperature,Summer,Moderate
Fruits,220,Corporate,300,Refrigerated,All Seasons,Moderate
Fruits,220,Corporate,300,Room Temperature,All Seasons,Low
Dairy Products,220,Birthday,300,Room Temperature,All Seasons,Low
Baked Goods,400,Birthday,500,Room Temperature,Summer,High
Dairy Products,400,Corporate,500,Room Temperature,Summer,High
Dairy Products,400,Corporate,500,Room Temperature,Summer,High
Dairy Products,220,Birthday,300,Room Temperature,Winter,Moderate
Baked Goods,400,Corporate,500,Room Temperature,All Seasons,High
Dairy Products,434,Corporate,495,Room Temperature,Summer,Low
Baked Goods,350,Wedding,450,Room Temperature,Winter,Moderate
Baked Goods,220,Birthday,300,Room Temperature,All Seasons,Low
Baked Goods,400,Social Gathering,500,Room Temperature,Winter,High
Dairy Products,250,Corporate,350,Room Temperature,All Seasons,High
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,High
Baked Goods,453,Social Gathering,484,Room Temperature,Winter,High
Dairy Products,350,Wedding,450,Room Temperature,Winter,Moderate
Dairy Products,260,Social Gathering,400,Room Temperature,Winter,Low
Vegetables,350,Social Gathering,450,Room Temperature,Summer,Moderate
Fruits,350,Social Gathering,450,Room Temperature,Winter,Moderate
Dairy Products,250,Birthday,350,Room Temperature,Winter,Moderate
Baked Goods,400,Social Gathering,500,Room Temperature,Winter,High
Dairy Products,320,Social Gathering,400,Room Temperature,Winter,Moderate
Baked Goods,400,Social Gathering,500,Room Temperature,Winter,High
Baked Goods,350,Social Gathering,400,Room Temperature,Winter,Moderate
Baked Goods,350,Social Gathering,450,Room Temperature,Summer,Moderate
Baked Goods,400,Social Gathering,500,Room Temperature,All Seasons,High
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Moderate
Baked Goods,250,Social Gathering,350,Room Temperature,Summer,Moderate
Fruits,320,Social Gathering,400,Room Temperature,All Seasons,Moderate
Dairy Products,250,Social Gathering,350,Room Temperature,All Seasons,Moderate
Meat,400,Wedding,500,Refrigerated,Summer,High
Meat,320,Corporate,400,Room Temperature,Winter,High
Meat,400,Wedding,500,Refrigerated,Winter,Low
Fruits,400,Wedding,500,Refrigerated,Winter,High
Fruits,380,Wedding,500,Refrigerated,Summer,High
Meat,300,Wedding,400,Refrigerated,Summer,High
Meat,400,Wedding,500,Room Temperature,Winter,Low
Fruits,320,Corporate,400,Refrigerated,Winter,High
Meat,380,Birthday,480,Refrigerated,All Seasons,Moderate
Fruits,380,Corporate,480,Refrigerated,Winter,Moderate
Meat,300,Wedding,400,Refrigerated,All Seasons,Moderate
Vegetables,380,Birthday,480,Refrigerated,Summer,Moderate
Meat,280,Corporate,350,Refrigerated,Summer,Moderate
Baked Goods,300,Wedding,400,Room Temperature,Summer,Low
Meat,400,Corporate,350,Room Temperature,Summer,High
Meat,220,Corporate,300,Room Temperature,Summer,Moderate
Baked Goods,290,Birthday,374,Room Temperature,Summer,Low
Fruits,400,Birthday,450,Room Temperature,All Seasons,Moderate
Meat,240,Wedding,450,Refrigerated,All Seasons,Low
Meat,250,Wedding,350,Refrigerated,Winter,Moderate
Meat,320,Corporate,400,Refrigerated,Winter,Moderate
Baked Goods,450,Birthday,500,Room Temperature,Summer,High
Baked Goods,439,Corporate,459,Room Temperature,Winter,Low
Baked Goods,280,Wedding,350,Room Temperature,All Seasons,Low
Fruits,310,Corporate,350,Room Temperature,All Seasons,High
Vegetables,208,Wedding,282,Refrigerated,Winter,Moderate
Fruits,208,Wedding,282,Refrigerated,All Seasons,Moderate
Vegetables,250,Birthday,350,Room Temperature,Summer,Moderate
Baked Goods,300,Wedding,400,Room Temperature,Summer,Moderate
Fruits,250,Corporate,350,Refrigerated,Winter,Moderate
Baked Goods,290,Birthday,374,Room Temperature,All Seasons,Low
Fruits,342,Corporate,405,Refrigerated,All Seasons,Moderate
Dairy Products,280,Wedding,480,Room Temperature,Winter,Low
Vegetables,434,Wedding,495,Refrigerated,All Seasons,Low
Meat,230,Social Gathering,500,Refrigerated,All Seasons,Low
Baked Goods,491,Birthday,497,Room Temperature,All Seasons,High
Dairy Products,250,Social Gathering,500,Room Temperature,Winter,High
Fruits,320,Social Gathering,480,Room Temperature,All Seasons,High
Fruits,400,Corporate,500,Room Temperature,Summer,High
Fruits,230,Corporate,500,Room Temperature,All Seasons,Low
Fruits,208,Wedding,282,Room Temperature,All Seasons,Moderate
Dairy Products,220,Birthday,300,Room Temperature,Winter,Moderate
Fruits,300,Social Gathering,400,Room Temperature,All Seasons,Moderate
Baked Goods,453,Birthday,484,Room Temperature,Summer,High
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,High
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Low
Fruits,450,Social Gathering,500,Room Temperature,All Seasons,High
Meat,400,Social Gathering,500,Room Temperature,Winter,High
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Low
Baked Goods,208,Corporate,282,Room Temperature,Winter,Moderate
Meat,280,Social Gathering,350,Refrigerated,All Seasons,Moderate
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,High
Fruits,280,Social Gathering,350,Room Temperature,All Seasons,Moderate
Baked Goods,350,Social Gathering,450,Room Temperature,Summer,High
Baked Goods,400,Social Gathering,500,Room Temperature,Summer,High
Baked Goods,300,Social Gathering,400,Room Temperature,Summer,High
Baked Goods,230,Social Gathering,500,Room Temperature,Summer,Moderate
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,High
Dairy Products,300,Social Gathering,400,Room Temperature,Winter,Moderate
Baked Goods,350,Social Gathering,450,Room Temperature,Winter,Moderate
Dairy Products,261,Birthday,350,Room Temperature,All Seasons,Moderate
Dairy Products,438,Social Gathering,493,Room Temperature,All Seasons,Moderate
Meat,491,Birthday,497,Refrigerated,Summer,High
Meat,300,Birthday,400,Refrigerated,Winter,Low
Meat,300,Wedding,400,Refrigerated,Winter,High
Meat,350,Wedding,450,Refrigerated,Summer,High
Meat,292,Corporate,470,Refrigerated,Summer,High
Meat,300,Wedding,400,Refrigerated,Winter,Moderate
Baked Goods,430,Corporate,477,Room Temperature,Summer,Low
Fruits,220,Corporate,300,Room Temperature,Summer,Low
Meat,320,Wedding,400,Refrigerated,Winter,High
Fruits,300,Corporate,400,Refrigerated,Winter,Moderate
Meat,350,Wedding,450,Refrigerated,All Seasons,High
Meat,320,Corporate,400,Refrigerated,Winter,Moderate
Fruits,400,Birthday,500,Refrigerated,Summer,High
Baked Goods,250,Social Gathering,350,Room Temperature,All Seasons,Moderate
Dairy Products,261,Social Gathering,350,Room Temperature,All Seasons,Moderate
Fruits,220,Corporate,300,Refrigerated,Winter,Low
Meat,400,Wedding,500,Refrigerated,Winter,High
Meat,280,Corporate,350,Room Temperature,Winter,Low
Vegetables,320,Wedding,400,Room Temperature,Summer,High
Fruits,320,Wedding,400,Refrigerated,Summer,High
Meat,250,Corporate,350,Refrigerated,Winter,Moderate
Vegetables,280,Birthday,350,Refrigerated,Winter,Low
Meat,300,Birthday,400,Refrigerated,Winter,Low
Meat,300,Corporate,400,Refrigerated,Summer,Moderate
Meat,350,Corporate,450,Refrigerated,Winter,Moderate
Meat,220,Corporate,450,Refrigerated,Winter,Moderate
Vegetables,280,Corporate,350,Refrigerated,Summer,Low
Meat,400,Corporate,500,Room Temperature,Winter,High
Vegetables,320,Birthday,400,Refrigerated,Summer,High
Dairy Products,250,Corporate,500,Room Temperature,Winter,High
Baked Goods,310,Birthday,450,Room Temperature,All Seasons,Low
Vegetables,220,Corporate,300,Refrigerated,Summer,Moderate
Baked Goods,220,Corporate,300,Room Temperature,Winter,Low
Fruits,350,Wedding,450,Room Temperature,Summer,High
Meat,320,Corporate,400,Room Temperature,Winter,Moderate
Fruits,300,Wedding,400,Room Temperature,Summer,High
Vegetables,320,Wedding,400,Refrigerated,Summer,High
Fruits,320,Social Gathering,400,Refrigerated,All Seasons,High
Fruits,320,Social Gathering,400,Refrigerated,All Seasons,High
Dairy Products,310,Corporate,450,Refrigerated,All Seasons,Low
Meat,300,Corporate,400,Refrigerated,All Seasons,High
Vegetables,250,Corporate,350,Refrigerated,Winter,High
Fruits,220,Wedding,300,Refrigerated,Summer,Moderate
Meat,350,Wedding,450,Refrigerated,All Seasons,Moderate
Baked Goods,400,Corporate,500,Room Temperature,Summer,High
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,Low
Vegetables,302,Corporate,371,Room Temperature,All Seasons,Low
Baked Goods,350,Wedding,450,Room Temperature,Winter,Low
Baked Goods,220,Birthday,300,Room Temperature,Summer,Low
Fruits,250,Birthday,350,Room Temperature,Winter,Moderate
Baked Goods,220,Wedding,300,Room Temperature,Winter,Moderate
Dairy Products,280,Corporate,350,Room Temperature,Winter,Low
Meat,488,Social Gathering,498,Refrigerated,All Seasons,High
Fruits,220,Social Gathering,300,Room Temperature,Winter,Low
Fruits,320,Social Gathering,400,Refrigerated,All Seasons,High
Meat,320,Corporate,400,Refrigerated,All Seasons,Moderate
Dairy Products,207,Birthday,280,Room Temperature,Summer,High
Fruits,280,Wedding,350,Room Temperature,All Seasons,Moderate
Baked Goods,300,Corporate,400,Room Temperature,Winter,Low
Baked Goods,310,Corporate,350,Room Temperature,Winter,High
Fruits,400,Social Gathering,500,Refrigerated,Summer,High
Fruits,400,Birthday,500,Room Temperature,All Seasons,Low
Fruits,491,Social Gathering,497,Room Temperature,Summer,High
Baked Goods,220,Wedding,300,Room Temperature,Winter,Moderate
Baked Goods,220,Wedding,300,Room Temperature,Summer,Moderate
Vegetables,320,Corporate,400,Refrigerated,Winter,High
Vegetables,350,Corporate,450,Refrigerated,Winter,Moderate
Baked Goods,400,Wedding,500,Room Temperature,Summer,High
Baked Goods,320,Wedding,400,Room Temperature,Summer,Moderate
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Low
Baked Goods,250,Wedding,350,Room Temperature,Summer,High
Baked Goods,280,Wedding,350,Room Temperature,All Seasons,Low
Dairy Products,320,Corporate,400,Room Temperature,All Seasons,High
Meat,250,Corporate,350,Refrigerated,Winter,Moderate
Vegetables,400,Corporate,500,Refrigerated,Summer,Low
Fruits,400,Birthday,500,Room Temperature,All Seasons,Low
Meat,300,Social Gathering,400,Room Temperature,Winter,High
Dairy Products,491,Birthday,497,Room Temperature,All Seasons,High
Baked Goods,250,Corporate,350,Room Temperature,All Seasons,High
Fruits,320,Social Gathering,400,Room Temperature,Summer,Moderate
Fruits,220,Social Gathering,300,Room Temperature,Summer,Moderate
Fruits,280,Social Gathering,350,Room Temperature,Winter,Moderate
Dairy Products,400,Birthday,500,Room Temperature,Summer,High
Baked Goods,350,Wedding,450,Room Temperature,Summer,Moderate
Baked Goods,400,Social Gathering,500,Room Temperature,Winter,High
Baked Goods,250,Social Gathering,350,Room Temperature,Winter,High
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,Low
Fruits,400,Social Gathering,500,Room Temperature,All Seasons,High
Baked Goods,310,Social Gathering,350,Room Temperature,All Seasons,High
Baked Goods,350,Corporate,450,Room Temperature,All Seasons,High
Baked Goods,320,Corporate,400,Room Temperature,All Seasons,High
Baked Goods,220,Wedding,300,Room Temperature,Winter,Moderate
Dairy Products,280,Birthday,350,Room Temperature,All Seasons,Low
Dairy Products,250,Birthday,350,Room Temperature,All Seasons,Moderate
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,High
Baked Goods,220,Wedding,300,Room Temperature,All Seasons,Moderate
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Low
Dairy Products,350,Birthday,450,Room Temperature,Winter,Moderate
Dairy Products,342,Social Gathering,405,Room Temperature,Summer,Moderate
Baked Goods,380,Social Gathering,500,Room Temperature,Summer,High
Dairy Products,250,Birthday,350,Room Temperature,All Seasons,High
Baked Goods,400,Corporate,500,Room Temperature,Winter,High
Baked Goods,400,Wedding,500,Room Temperature,All Seasons,High
Baked Goods,400,Corporate,500,Room Temperature,Winter,High
Dairy Products,400,Wedding,500,Room Temperature,Winter,High
Dairy Products,320,Wedding,400,Room Temperature,Winter,High
Dairy Products,342,Social Gathering,405,Room Temperature,Summer,Moderate
Dairy Products,400,Social Gathering,500,Room Temperature,Summer,High
Dairy Products,320,Social Gathering,400,Room Temperature,Winter,High
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Low
Dairy Products,220,Social Gathering,300,Room Temperature,All Seasons,Moderate
Baked Goods,400,Wedding,500,Room Temperature,Winter,High
Vegetables,350,Wedding,450,Room Temperature,Winter,Moderate
Vegetables,429,Social Gathering,496,Refrigerated,Winter,Low
Baked Goods,380,Social Gathering,400,Room Temperature,Winter,Moderate
Baked Goods,250,Birthday,350,Room Temperature,All Seasons,High
Meat,250,Social Gathering,350,Room Temperature,Winter,Moderate
